tc_id,req_id,title,steps,expected_result,source_reviews,test_type,priority
TC-1.1,REQ-1,Verify verification process completes without server busy errors,Initiate account verification with valid credentials. | Complete the verification steps as prompted. | Observe if any server busy errors occur.,Verification process completes successfully without any server busy errors in 95% of attempts.,"R-333206289-dd910ab5, R-333206289-926bba7b, R-333206289-e8b76d27",functional,high
TC-1.2,REQ-1,Verify clear error messages are shown when verification fails,Initiate account verification with invalid or incomplete data. | Trigger a verification failure. | Check the error message displayed to the user.,"User receives a clear, actionable error message explaining the failure and how to proceed.","R-333206289-14340c0e, R-333206289-941d4663",functional,high
TC-2.1,REQ-2,Verify passport chip scanning succeeds on first attempt for most users,Open the app and start the identity verification process. | Select passport as the document type. | Position the passport within the scanning frame as instructed. | Wait for the chip scanning to complete. | Observe if any error messages appear.,"The passport chip scanning completes successfully on the first attempt for the majority of users, with no error messages or need for retry.","R-333206289-57f46cd3, R-333206289-8781a072, R-333206289-18bf89c7",functional,high
TC-2.2,REQ-2,Verify users can complete verification without re-uploading documents more than once,"Start the identity verification process. | Upload a required document (e.g., passport). | Proceed through the verification steps. | If an error occurs, attempt to correct it without re-uploading the document. | Complete the verification process.","Users can complete identity verification without needing to re-upload documents more than once, even if minor errors occur during the process.","R-333206289-d13a200e, R-333206289-d5645001",functional,high
TC-2.3,REQ-2,Verify facial recognition errors are reduced by 40%,Start the identity verification process. | Proceed to the facial recognition step. | Follow the on-screen instructions for capturing a selfie. | Complete the facial recognition attempt. | Record any error messages or failures.,"Facial recognition errors are reduced by 40% compared to the previous version, with clear real-time feedback guiding the user to a successful capture.","R-333206289-57f46cd3, R-333206289-8781a072, R-333206289-18bf89c7",regression,high
TC-2.4,REQ-2,Verify step-by-step instructions and real-time feedback are provided during verification,"Start the identity verification process. | Observe the instructions provided for each step (e.g., document scanning, facial recognition). | Perform an action that may cause an error (e.g., poor lighting). | Check if real-time feedback is displayed to guide the user.",Users receive clear step-by-step instructions and real-time feedback that helps them correct errors and complete verification successfully.,"R-333206289-d13a200e, R-333206289-d5645001",usability,medium
TC-3.1,REQ-3,Verify international user registration with passport verification,Launch the app from a region outside China. | Initiate a new account registration. | Select passport as the verification method. | Enter valid passport details and submit. | Complete the registration process.,"The registration completes successfully without any passport verification failure, and the user is able to access the app's main features.","R-333206289-029c700b, R-333206289-5e0fc58b, R-333206289-22353660",functional,high
TC-3.2,REQ-3,Verify SMS verification for international phone numbers,Launch the app from a region outside China. | Initiate a new account registration. | Enter an international phone number. | Request SMS verification code. | Enter the received code and complete verification.,"The SMS verification code is delivered reliably to the international phone number, and the verification completes without errors.","R-333206289-79e02277, R-333206289-fbefe675",functional,high
TC-4.1,REQ-4,Verify foreign bank card can be added successfully,"Launch the app and navigate to the payment methods section. | Select 'Add Card' and enter a valid foreign bank card number (e.g., US-issued card). | Enter the cardholder name, expiration date, and CVV. | Submit the card details.","The foreign bank card is added successfully without any error messages, and it appears in the list of payment methods.","R-333206289-f86a5f81, R-333206289-f2608043, R-333206289-9f3c2ecf",functional,high
TC-4.2,REQ-4,Verify international user can complete verification without Chinese bank card,"Start the account verification process as an international user (e.g., from the US). | When prompted for bank card verification, select the option to use a foreign bank card. | Enter a valid foreign bank card and complete the verification steps.","The verification is completed successfully without requiring a Chinese bank card, and the user's account is not locked.","R-333206289-cead4a92, R-333206289-b1647c89",functional,high
TC-5.1,REQ-5,Verify AI features are hidden by default on main screen,Launch the app with default settings. | Navigate to the main screen. | Observe whether any AI features are visible.,AI features are not visible on the main screen by default.,"R-333206289-7bc772db, R-333206289-1298532f, R-333206289-a4bf49d6",functional,high
TC-5.2,REQ-5,Verify settings toggle to enable or disable AI features,Open the app settings. | Locate the toggle for AI features. | Toggle the AI features off. | Return to the main screen and confirm AI features are hidden. | Toggle the AI features on. | Return to the main screen and confirm AI features are visible.,"The settings toggle successfully enables and disables AI features, and the main screen reflects the change immediately.","R-333206289-907c7dad, R-333206289-f8695173",functional,high
TC-5.3,REQ-5,Verify app launch time improves by at least 20% after disabling AI features,Ensure AI features are enabled in settings. | Measure the app launch time using a performance tool. | Disable AI features in settings. | Measure the app launch time again. | Calculate the percentage improvement.,The app launch time after disabling AI features is at least 20% faster than with AI features enabled.,"R-333206289-7bc772db, R-333206289-1298532f",performance,medium
TC-6.1,REQ-6,Verify app does not overheat during 30 minutes of continuous use,"Launch the app on a test device. | Use the app continuously for 30 minutes, including navigation, scrolling, and transitions. | Monitor the device temperature during and after the session.",The device temperature remains within normal operating range and the app does not overheat or trigger thermal throttling warnings.,"R-333206289-9536bb58, R-333206289-d005f281, R-333206289-206e7af6",functional,high
TC-6.2,REQ-6,Verify frame rate stays above 30 fps during scrolling and transitions,Launch the app and enable a frame rate monitoring tool. | Scroll through various screens and perform transitions between pages. | Record the frame rate during these interactions.,"The frame rate remains above 30 fps throughout scrolling and transitions, with no noticeable jank or stutter.","R-333206289-9536bb58, R-333206289-d005f281, R-333206289-206e7af6",performance,high
TC-6.3,REQ-6,Verify CPU usage drops by at least 15% during idle state,Launch the app and navigate to the home screen. | Wait for the app to reach an idle state (no user interaction for 2 minutes). | Measure the CPU usage using a profiling tool. | Compare the CPU usage with the baseline from the previous version.,"CPU usage during idle state is at least 15% lower than the baseline, indicating reduced background processing.","R-333206289-9536bb58, R-333206289-d005f281, R-333206289-206e7af6",performance,high
TC-7.1,REQ-7,Verify app storage size is reduced by at least 20% after update,Install the previous version of the app and record its storage size. | Update the app to the new version. | Check the app storage size in the device settings. | Calculate the percentage reduction in storage size.,The app storage size after the update is at least 20% smaller than before the update.,"R-333206289-c188e3b6, R-333206289-4a87db01, R-333206289-94026b06",functional,high
TC-7.2,REQ-7,Verify main navigation has at most 5 primary sections,Launch the app. | Open the main navigation menu. | Count the number of primary sections displayed. | Verify that the count is 5 or fewer.,The main navigation menu displays at most 5 primary sections.,"R-333206289-58532c09, R-333206289-9a2ee268",functional,high
TC-7.3,REQ-7,Verify core features are reachable within 2 taps from home screen,"Launch the app and land on the home screen. | Identify the core features (e.g., search, settings, profile). | For each core feature, tap the first navigation element and then the second if needed. | Verify that the feature is accessible within 2 taps.",All core features can be accessed within 2 taps from the home screen.,"R-333206289-c188e3b6, R-333206289-4a87db01",functional,high
TC-8.1,REQ-8,Verify unnecessary features are removed from main interface,Launch the app after updating to v1.2.0 | Navigate to the main interface | Check if weather and Xinghubao features are visible,Weather and Xinghubao features are not visible in the main interface.,"R-333206289-8889e25d, R-333206289-1e24a32b, R-333206289-29d1e85d",functional,high
TC-8.2,REQ-8,Verify optional modules can be disabled or uninstalled from settings,Open the app settings | Navigate to the module management section | Attempt to disable or uninstall the weather and Xinghubao modules | Confirm the action,"Users can successfully disable or uninstall the weather and Xinghubao modules from settings, and the changes take effect immediately.","R-333206289-38b5a452, R-333206289-9cd1ea9c",functional,high
TC-8.3,REQ-8,Verify app startup time is reduced by at least 10%,Measure the app startup time before updating to v1.2.0 | Update the app to v1.2.0 | Measure the app startup time after the update | Calculate the percentage reduction,The app startup time after the update is at least 10% faster than before the update.,"R-333206289-8889e25d, R-333206289-1e24a32b",performance,medium
TC-9.1,REQ-9,Verify at most 2 ads per session in non-critical screens,"Start a new app session. | Navigate through non-critical screens such as home, browse, and settings. | Count the number of ads or pop-ups displayed during the session. | Continue navigating until the session ends or the app is closed.",The total number of ads or pop-ups shown in non-critical screens does not exceed 2 per session.,"R-333206289-08299823, R-333206289-a0f1b5e7, R-333206289-335c9b65",functional,high
TC-9.2,REQ-9,Verify no ads or pop-ups during payment and account management flows,"Initiate a payment flow (e.g., purchase or subscription). | Complete the payment process. | Open account management screens (e.g., profile, settings, billing). | Navigate through these flows and observe for any ads or pop-ups.",No ads or pop-ups appear during any payment or account management flow.,"R-333206289-7f527831, R-333206289-4ac607e0",functional,high
TC-9.3,REQ-9,Verify ads and pop-ups can be dismissed with one tap,Trigger an ad or pop-up in a non-critical screen. | Attempt to dismiss it using a single tap on the close button or dismiss area. | Repeat for multiple ads or pop-ups.,"Each ad or pop-up can be dismissed with exactly one tap, and the dismissal action is responsive.","R-333206289-08299823, R-333206289-a0f1b5e7",functional,medium
TC-10.1,REQ-10,Verify app icon has no promotional badges or overlays,"Install the app version v1.3.0 on a test device. | Navigate to the device home screen or app drawer. | Inspect the app icon for any promotional badges, overlays, or text.","The app icon is clean and contains no promotional badges, overlays, or text.","R-333206289-c188e3b6, R-333206289-63b07cba, R-333206289-67547210",functional,high
TC-10.2,REQ-10,Verify ads do not obscure navigation or critical information,"Launch the app and navigate through all main screens. | While using the app, trigger any ads that may appear. | Check that navigation buttons and critical information are not covered by ads. | Attempt to access core features such as settings, profile, and main content.",Ads do not obscure navigation buttons or critical information. Users can access all core features without encountering an ad that blocks interaction.,"R-333206289-30536640, R-333206289-7f527831",functional,high
TC-11.1,REQ-11,Verify users can opt out of promotional push notifications in settings,Open the app settings. | Navigate to notification preferences. | Locate the option for promotional push notifications. | Toggle the option to disable promotional push notifications. | Return to the main screen and trigger a promotional event.,"The user can successfully disable promotional push notifications, and no promotional push notifications are received after the setting is turned off.","R-333206289-3ed689cf, R-333206289-198729b2",functional,high
TC-11.2,REQ-11,Verify pop-ups appear at most once per day and can be dismissed easily,"Launch the app and use it normally. | Trigger a pop-up event (e.g., promotional offer). | Dismiss the pop-up using the close button. | Continue using the app and attempt to trigger another pop-up within the same day. | Check if a second pop-up appears.","Only one pop-up appears per day, and the pop-up can be dismissed easily with a close button. No additional pop-ups appear on the same day.","R-333206289-48b2b697, R-333206289-e739f06a",functional,high
TC-11.3,REQ-11,Verify no pop-ups interrupt payment or transaction processes,"Start a payment or transaction process in the app. | Proceed through the payment steps. | Attempt to trigger a pop-up during the transaction (e.g., by waiting or performing actions). | Complete the transaction.","No pop-ups appear during the payment or transaction process, and the transaction completes without interruption.","R-333206289-3ed689cf, R-333206289-198729b2",functional,high
TC-12.1,REQ-12,Verify Remove Ads option is visible in settings menu,Open the app and navigate to the settings menu. | Look for the 'Remove Ads' purchase option. | Verify the option is clearly labeled with the one-time fee.,"The 'Remove Ads' purchase option is visible in the settings menu, clearly labeled as a one-time fee.","R-333206289-65028963, R-333206289-274def10, R-333206289-84082aca",functional,high
TC-12.2,REQ-12,Verify no ads appear after purchasing Remove Ads,Purchase the 'Remove Ads' option. | Navigate through various screens of the app. | Check for any ads or pop-ups.,"After purchase, no ads or pop-ups appear anywhere in the app.","R-333206289-65028963, R-333206289-274def10, R-333206289-84082aca",functional,high
TC-13.1,REQ-13,Verify suspension reason is visible within one tap from account status screen,Log in with an account that has a suspended or restricted status. | Navigate to the account status screen. | Tap on the suspension or restriction notice.,The reason for the suspension is displayed clearly within one tap from the account status screen.,"R-333206289-1fd2bc1f, R-333206289-9e965ef1, R-333206289-02761bbc",functional,high
TC-13.2,REQ-13,Verify appeal process provides step-by-step guide and expected response time,Log in with a suspended account. | Navigate to the account status screen and tap on the suspension notice. | Locate the appeal or resolution section. | Follow the step-by-step guide to submit an appeal. | Note the expected response time displayed.,"The app provides a clear step-by-step guide to appeal or resolve the suspension, including the expected response time.","R-333206289-6964d841, R-333206289-b1110eac",functional,high
TC-13.3,REQ-13,Verify user receives notification when appeal status changes,"Submit an appeal for a suspended account. | Wait for the appeal status to change (e.g., from pending to resolved). | Check for a notification in the app or via push notification.",The user receives a notification when their appeal status changes.,"R-333206289-1fd2bc1f, R-333206289-9e965ef1",functional,medium
TC-14.1,REQ-14,Verify Security & Trust section is accessible from main menu,Open the app and log in. | Navigate to the main menu. | Look for a 'Security & Trust' section. | Tap on it.,"A 'Security & Trust' section is accessible from the main menu, explaining how the app protects user data and funds.","R-333206289-fee60566, R-333206289-d52c51c7, R-333206289-2ca3dda1",functional,high
TC-14.2,REQ-14,Verify verification status badge is displayed on profile after identity verification,Complete the identity verification process. | Navigate to the user profile screen. | Check for a verification status badge.,The app displays a verification status badge on the user's profile once identity is verified.,"R-333206289-3eb78bb8, R-333206289-ca229e53",functional,high
TC-14.3,REQ-14,Verify users can report suspicious activity and receive acknowledgment within 24 hours,Navigate to the 'Security & Trust' section. | Find the option to report suspicious activity. | Submit a report with details. | Wait for acknowledgment.,"Users can report suspicious activity directly from the app, and the report is acknowledged within 24 hours.","R-333206289-fee60566, R-333206289-d52c51c7",functional,high
TC-15.1,REQ-15,Verify account recovery initiation from login screen,Navigate to the login screen. | Look for a 'Forgot access?' link. | Click on the 'Forgot access?' link.,The user is taken to the account recovery flow and can initiate the process.,"R-333206289-85097cff, R-333206289-dcb35ec7",functional,high
TC-15.2,REQ-15,Verify multiple verification methods in recovery flow,"Initiate account recovery from the login screen. | Observe the available verification methods. | Attempt to use each method (e.g., email, phone, document upload).","The recovery flow offers at least two verification methods, and each method is functional.","R-333206289-d7bceedc, R-333206289-12326329",functional,high
TC-16.1,REQ-16,Verify international document verification is supported,Open the app and navigate to the identity verification section. | Select the option to verify identity using a passport or other international ID document. | Upload a valid passport image and complete the verification form. | Submit the verification request.,"The verification form accepts passports and other international ID documents, and the user can successfully submit the verification request without errors.","R-333206289-17eec60f, R-333206289-3151f60e, R-333206289-32641adf",functional,high
TC-16.2,REQ-16,Verify multiple withdrawal methods including international bank transfer,Log in to the app and navigate to the fund withdrawal section. | Check the list of available withdrawal methods. | Select international bank transfer as the withdrawal method. | Enter the required bank details and confirm the withdrawal.,"The app displays at least three withdrawal methods including international bank transfer, and the user can successfully complete a withdrawal using international bank transfer.","R-333206289-17eec60f, R-333206289-3151f60e, R-333206289-32641adf",functional,high
TC-17.1,REQ-17,Verify all UI elements are localized to English when device language is English,"Set device language to English. | Launch the app. | Navigate through all main screens, menus, alerts, and prompts. | Check every UI element for Chinese characters.",All UI strings are displayed in English. No Chinese characters appear in any screen or dialog.,"R-333206289-88ebb1cc, R-333206289-1404d65f, R-333206289-9fe01cdb",functional,high
TC-17.2,REQ-17,Verify automated test detects untranslated strings in English mode,Set device language to English. | Run the automated localization test suite. | Review the test results for any untranslated strings.,Automated tests pass with no untranslated strings detected in English mode.,"R-333206289-497920a2, R-333206289-777e142a",regression,medium
TC-18.1,REQ-18,Verify key user flows have native speaker reviewed translations,"Open the app and navigate to the main user flows such as onboarding, login, and subscription management. | Switch the app language to a supported foreign language (e.g., Chinese). | Review the translated text for accuracy and contextual appropriateness. | Check that no critical mistranslations are present in these key flows.","All user-facing translations in key flows are accurate and contextually appropriate, with no critical mistranslations detected.","R-333206289-a38cf4b2, R-333206289-94026b06",functional,high
